T_thermocontroller T_self C D R X
33.08 -1 +3.31987E-011 +3.57830E-002 +1.71325E+004 -4.78789E+005
33.08 -1 +3.31949E-011 +3.52569E-002 +1.68832E+004 -4.78861E+005
33.08 -1 +3.32091E-011 +3.55772E-002 +1.70288E+004 -4.78645E+005
33.08 -1 +3.32078E-011 +3.54257E-002 +1.69572E+004 -4.78670E+005
33.08 -1 +3.32233E-011 +3.52365E-002 +1.68589E+004 -4.78452E+005
33.08 -1 +3.32197E-011 +3.55044E-002 +1.69887E+004 -4.78495E+005
33.08 -1 +3.32277E-011 +3.51591E-002 +1.68198E+004 -4.78391E+005
34.77 -1 +3.32438E-011 +3.53205E-002 +1.68886E+004 -4.78154E+005
34.77 -1 +3.32407E-011 +3.56978E-002 +1.70702E+004 -4.78186E+005
34.77 -1 +3.32395E-011 +3.54114E-002 +1.69342E+004 -4.78213E+005
34.77 -1 +3.32519E-011 +3.56221E-002 +1.70283E+004 -4.78027E+005
34.77 -1 +3.32555E-011 +3.56318E-002 +1.70312E+004 -4.77976E+005
34.77 -1 +3.32693E-011 +3.54829E-002 +1.69531E+004 -4.77783E+005
34.77 -1 +3.32648E-011 +3.58373E-002 +1.71243E+004 -4.77835E+005
34.77 -1 +3.32744E-011 +3.55506E-002 +1.69828E+004 -4.77707E+005
34.77 -1 +3.32798E-011 +3.58377E-002 +1.71168E+004 -4.77620E+005
34.77 -1 +3.32812E-011 +3.57513E-002 +1.70749E+004 -4.77603E+005
34.77 -1 +3.32873E-011 +3.54984E-002 +1.69513E+004 -4.77523E+005
34.77 -1 +3.33009E-011 +3.56332E-002 +1.70086E+004 -4.77324E+005
34.77 -1 +3.32931E-011 +3.57630E-002 +1.70744E+004 -4.77431E+005
34.77 -1 +3.33156E-011 +3.55402E-002 +1.69568E+004 -4.77116E+005
34.77 -1 +3.33134E-011 +3.58926E-002 +1.71256E+004 -4.77136E+005
34.77 -1 +3.33081E-011 +3.56576E-002 +1.70165E+004 -4.77220E+005
34.77 -1 +3.33326E-011 +3.59173E-002 +1.71275E+004 -4.76860E+005
34.77 -1 +3.33224E-011 +3.60612E-002 +1.72012E+004 -4.77001E+005
34.77 -1 +3.33290E-011 +3.56365E-002 +1.69958E+004 -4.76922E+005
34.77 -1 +3.33469E-011 +3.58171E-002 +1.70726E+004 -4.76660E+005
34.77 -1 +3.33422E-011 +3.57226E-002 +1.70300E+004 -4.76730E+005
36.6 -1 +3.33479E-011 +3.55515E-002 +1.69457E+004 -4.76654E+005
36.6 -1 +3.33513E-011 +3.60134E-002 +1.71636E+004 -4.76590E+005
36.6 -1 +3.33573E-011 +3.55939E-002 +1.69611E+004 -4.76518E+005
36.6 -1 +3.33738E-011 +3.57204E-002 +1.70129E+004 -4.76279E+005
36.6 -1 +3.33691E-011 +3.63441E-002 +1.73115E+004 -4.76324E+005
36.6 -1 +3.33801E-011 +3.59049E-002 +1.70973E+004 -4.76182E+005
36.6 -1 +3.33837E-011 +3.60646E-002 +1.71712E+004 -4.76125E+005
36.6 -1 +3.33755E-011 +3.58494E-002 +1.70733E+004 -4.76250E+005
36.6 -1 +3.33950E-011 +3.58533E-002 +1.70651E+004 -4.75971E+005
36.6 -1 +3.33913E-011 +3.60466E-002 +1.71588E+004 -4.76017E+005
36.6 -1 +3.33948E-011 +3.55067E-002 +1.69007E+004 -4.75986E+005
36.6 -1 +3.34006E-011 +3.62289E-002 +1.72405E+004 -4.75878E+005
36.6 -1 +3.34009E-011 +3.59357E-002 +1.71012E+004 -4.75884E+005
36.6 -1 +3.34187E-011 +3.59565E-002 +1.71020E+004 -4.75630E+005
36.6 -1 +3.34239E-011 +3.62195E-002 +1.72241E+004 -4.75548E+005
36.6 -1 +3.34151E-011 +3.61164E-002 +1.71797E+004 -4.75676E+005
36.6 -1 +3.34454E-011 +3.64202E-002 +1.73081E+004 -4.75234E+005
36.6 -1 +3.34351E-011 +3.66021E-002 +1.73997E+004 -4.75375E+005
36.6 -1 +3.34377E-011 +3.59824E-002 +1.71045E+004 -4.75358E+005
36.6 -1 +3.34461E-011 +3.62311E-002 +1.72181E+004 -4.75231E+005
38.3 -1 +3.34551E-011 +3.61376E-002 +1.71692E+004 -4.75107E+005
38.3 -1 +3.34656E-011 +3.62586E-002 +1.72211E+004 -4.74953E+005
38.3 -1 +3.34683E-011 +3.63169E-002 +1.72474E+004 -4.74913E+005
38.3 -1 +3.34639E-011 +3.60920E-002 +1.71431E+004 -4.74983E+005
38.3 -1 +3.34860E-011 +3.60056E-002 +1.70909E+004 -4.74673E+005
38.3 -1 +3.34695E-011 +3.65657E-002 +1.73646E+004 -4.74887E+005
38.3 -1 +3.34970E-011 +3.61403E-002 +1.71490E+004 -4.74512E+005
38.3 -1 +3.34804E-011 +3.66005E-002 +1.73754E+004 -4.74732E+005
