PMN (111), 9.4.2019, 19:3
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0107e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	M Temp [K]	 Eps''   	  Cp' [F]	M Time M[s]	M AcV' [Vrms]
3.78653e+01	1.84110e+04	4.53231e-10	1.16861e-03	3.01196e+02	2.15154e+01	1.23038e-08	2.87836e+02	1.00194e+00
2.36658e+01	1.84110e+04	2.96897e-10	1.22483e-03	3.01191e+02	2.25504e+01	1.23038e-08	2.90826e+02	1.00194e+00
1.47911e+01	1.84205e+04	1.83628e-10	1.21145e-03	3.01186e+02	2.23156e+01	1.23102e-08	2.93406e+02	1.00195e+00
9.24446e+00	1.84300e+04	1.15573e-10	1.21932e-03	3.01179e+02	2.24721e+01	1.23165e-08	2.96323e+02	1.00196e+00
5.77779e+00	1.84497e+04	7.35581e-11	1.24036e-03	3.01175e+02	2.28844e+01	1.23297e-08	2.99038e+02	1.00196e+00
3.61112e+00	1.84614e+04	4.62932e-11	1.24819e-03	3.01164e+02	2.30434e+01	1.23375e-08	3.02135e+02	1.00196e+00
2.25695e+00	1.84645e+04	3.08958e-11	1.33264e-03	3.01153e+02	2.46065e+01	1.23396e-08	3.05600e+02	1.00194e+00
1.41059e+00	1.84768e+04	2.00102e-11	1.38005e-03	3.01138e+02	2.54988e+01	1.23478e-08	3.09907e+02	1.00197e+00
8.81621e-01	1.84897e+04	1.26805e-11	1.39828e-03	3.01111e+02	2.58539e+01	1.23564e-08	3.16910e+02	1.00200e+00
5.51013e-01	1.85296e+04	8.24548e-12	1.45164e-03	3.01057e+02	2.68983e+01	1.23831e-08	3.27319e+02	1.00201e+00
3.44383e-01	1.85673e+04	5.35097e-12	1.50422e-03	3.00956e+02	2.79294e+01	1.24083e-08	3.42798e+02	1.00202e+00
2.15239e-01	1.86288e+04	3.73785e-12	1.67566e-03	3.00730e+02	3.12156e+01	1.24494e-08	3.68170e+02	1.00204e+00
1.34525e-01	1.87639e+04	2.61119e-12	1.85945e-03	3.00207e+02	3.48905e+01	1.25396e-08	4.06262e+02	1.00205e+00
1.00000e-01	1.90341e+04	2.27341e-12	2.14692e-03	2.99155e+02	4.08647e+01	1.27202e-08	4.59496e+02	1.00207e+00
