PMN (111), 9.4.2019, 19:3
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.0107e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	M Temp [K]	 Eps''   	  Cp' [F]	M Time M[s]	M AcV' [Vrms]
3.00000e+06	1.76804e+04	3.73295e-03	1.26505e-01	3.01108e+02	2.23667e+03	1.18156e-08	2.32449e+02	9.12826e-02
1.87500e+06	1.79366e+04	1.61500e-03	8.63179e-02	3.01119e+02	1.54825e+03	1.19868e-08	2.33748e+02	1.38345e-01
1.17188e+06	1.80843e+04	6.53793e-04	5.54534e-02	3.01120e+02	1.00284e+03	1.20855e-08	2.35448e+02	1.67360e-01
7.32422e+05	1.82196e+04	2.67385e-04	3.60171e-02	3.01125e+02	6.56216e+02	1.21759e-08	2.36556e+02	3.21245e-01
4.57764e+05	1.82657e+04	1.07480e-04	2.31057e-02	3.01130e+02	4.22042e+02	1.22067e-08	2.37665e+02	4.89021e-01
2.86102e+05	1.82975e+04	4.36549e-05	1.49897e-02	3.01137e+02	2.74273e+02	1.22279e-08	2.38870e+02	6.72995e-01
1.78814e+05	1.83101e+04	1.79987e-05	9.88141e-03	3.01140e+02	1.80930e+02	1.22364e-08	2.39946e+02	8.27032e-01
1.11759e+05	1.83156e+04	8.08876e-06	7.10314e-03	3.01141e+02	1.30098e+02	1.22401e-08	2.41572e+02	9.22311e-01
6.98492e+04	1.82832e+04	3.39138e-06	4.77347e-03	3.01152e+02	8.72743e+01	1.22184e-08	2.44140e+02	9.70365e-01
4.36558e+04	1.82897e+04	1.54609e-06	3.48063e-03	3.01157e+02	6.36598e+01	1.22228e-08	2.46753e+02	9.90190e-01
2.72848e+04	1.83007e+04	7.40012e-07	2.66391e-03	3.01166e+02	4.87515e+01	1.22301e-08	2.49522e+02	9.99798e-01
1.70530e+04	1.83075e+04	3.64901e-07	2.10095e-03	3.01176e+02	3.84631e+01	1.22346e-08	2.52202e+02	1.00343e+00
1.06581e+04	1.83161e+04	2.05949e-07	1.89634e-03	3.01182e+02	3.47335e+01	1.22404e-08	2.55347e+02	1.00509e+00
6.66134e+03	1.83210e+04	1.12571e-07	1.65801e-03	3.01187e+02	3.03764e+01	1.22437e-08	2.57959e+02	1.00572e+00
4.16334e+03	1.83278e+04	6.43565e-08	1.51604e-03	3.01192e+02	2.77857e+01	1.22482e-08	2.60552e+02	1.00528e+00
2.60208e+03	1.83347e+04	3.76149e-08	1.41722e-03	3.01195e+02	2.59842e+01	1.22528e-08	2.63154e+02	1.00463e+00
1.62630e+03	1.83400e+04	2.17721e-08	1.31211e-03	3.01197e+02	2.40641e+01	1.22564e-08	2.65745e+02	1.00495e+00
1.01644e+03	1.83428e+04	1.42225e-08	1.37120e-03	3.01199e+02	2.51516e+01	1.22582e-08	2.68763e+02	1.00186e+00
6.35275e+02	1.83598e+04	7.80208e-09	1.20241e-03	3.01201e+02	2.20760e+01	1.22696e-08	2.71425e+02	1.00210e+00
3.97047e+02	1.83683e+04	4.87881e-09	1.20247e-03	3.01201e+02	2.20873e+01	1.22753e-08	2.74185e+02	1.00191e+00
2.48154e+02	1.83668e+04	3.23322e-09	1.27512e-03	3.01201e+02	2.34199e+01	1.22743e-08	2.77221e+02	1.00179e+00
1.55096e+02	1.83757e+04	1.96157e-09	1.23717e-03	3.01199e+02	2.27339e+01	1.22803e-08	2.79827e+02	1.00205e+00
9.69352e+01	1.83838e+04	1.20498e-09	1.21543e-03	3.01200e+02	2.23443e+01	1.22857e-08	2.82577e+02	1.00203e+00
6.05845e+01	1.84018e+04	7.31352e-10	1.17917e-03	3.01198e+02	2.16988e+01	1.22977e-08	2.85280e+02	1.00195e+00
