PMN (111), 9.4.2019, 19:3
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.9756e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	M Temp [K]	 Eps''   	  Cp' [F]	M Time M[s]	M AcV' [Vrms]
3.00000e+06	1.83180e+04	4.23823e-03	1.38629e-01	2.99107e+02	2.53942e+03	1.22417e-08	4.61310e+02	8.79594e-02
1.87500e+06	1.86602e+04	1.86705e-03	9.59198e-02	2.99081e+02	1.78988e+03	1.24704e-08	4.62370e+02	1.32680e-01
1.17188e+06	1.88769e+04	7.63722e-04	6.20573e-02	2.99057e+02	1.17145e+03	1.26152e-08	4.64075e+02	1.57426e-01
7.32422e+05	1.90515e+04	3.16665e-04	4.07924e-02	2.99009e+02	7.77159e+02	1.27319e-08	4.65363e+02	3.06862e-01
4.57764e+05	1.91257e+04	1.28637e-04	2.64107e-02	2.98983e+02	5.05122e+02	1.27814e-08	4.66448e+02	4.71001e-01
2.86102e+05	1.91765e+04	5.26405e-05	1.72465e-02	2.98958e+02	3.30727e+02	1.28154e-08	4.67441e+02	6.55310e-01
1.78814e+05	1.92063e+04	2.18033e-05	1.14116e-02	2.98933e+02	2.19176e+02	1.28353e-08	4.68544e+02	8.14110e-01
1.11759e+05	1.92335e+04	9.80724e-06	8.20121e-03	2.98907e+02	1.57738e+02	1.28535e-08	4.70134e+02	9.15073e-01
6.98492e+04	1.92109e+04	4.10449e-06	5.49821e-03	2.98829e+02	1.05625e+02	1.28384e-08	4.72737e+02	9.66970e-01
4.36558e+04	1.92518e+04	1.88888e-06	4.03982e-03	2.98738e+02	7.77739e+01	1.28657e-08	4.75553e+02	9.88712e-01
2.72848e+04	1.92877e+04	8.93839e-07	3.05300e-03	2.98698e+02	5.88855e+01	1.28897e-08	4.78251e+02	9.99183e-01
1.70530e+04	1.93223e+04	4.40221e-07	2.40149e-03	2.98602e+02	4.64023e+01	1.29128e-08	4.80843e+02	1.00318e+00
1.06581e+04	1.93623e+04	2.45179e-07	2.13558e-03	2.98523e+02	4.13497e+01	1.29395e-08	4.83834e+02	1.00497e+00
6.66134e+03	1.93946e+04	1.33678e-07	1.85989e-03	2.98464e+02	3.60719e+01	1.29611e-08	4.86449e+02	1.00568e+00
4.16334e+03	1.94288e+04	7.62795e-08	1.69509e-03	2.98381e+02	3.29335e+01	1.29840e-08	4.89066e+02	1.00524e+00
2.60208e+03	1.94637e+04	4.47557e-08	1.58845e-03	2.98323e+02	3.09170e+01	1.30073e-08	4.91660e+02	1.00459e+00
1.62630e+03	1.95027e+04	2.63567e-08	1.49371e-03	2.98240e+02	2.91313e+01	1.30334e-08	4.94350e+02	1.00490e+00
1.01644e+03	1.95347e+04	1.68714e-08	1.52733e-03	2.98147e+02	2.98360e+01	1.30548e-08	4.97385e+02	1.00182e+00
6.35275e+02	1.95814e+04	9.34214e-09	1.34993e-03	2.98059e+02	2.64336e+01	1.30860e-08	5.00056e+02	1.00207e+00
3.97047e+02	1.96194e+04	5.83005e-09	1.34529e-03	2.97983e+02	2.63938e+01	1.31114e-08	5.02638e+02	1.00190e+00
2.48154e+02	1.96574e+04	3.59838e-09	1.32596e-03	2.97902e+02	2.60649e+01	1.31368e-08	5.05246e+02	1.00178e+00
1.55096e+02	1.96905e+04	2.36006e-09	1.38911e-03	2.97796e+02	2.73522e+01	1.31589e-08	5.08274e+02	1.00205e+00
9.69352e+01	1.97300e+04	1.43348e-09	1.34726e-03	2.97731e+02	2.65816e+01	1.31853e-08	5.11003e+02	1.00203e+00
6.05845e+01	1.97799e+04	8.83831e-10	1.32572e-03	2.97634e+02	2.62228e+01	1.32187e-08	5.13695e+02	1.00194e+00
3.78653e+01	1.98203e+04	5.44802e-10	1.30484e-03	2.97568e+02	2.58623e+01	1.32456e-08	5.16189e+02	1.00192e+00
2.36658e+01	1.98532e+04	3.55026e-10	1.35825e-03	2.97469e+02	2.69656e+01	1.32676e-08	5.19113e+02	1.00192e+00
1.47911e+01	1.98932e+04	2.19828e-10	1.34291e-03	2.97353e+02	2.67148e+01	1.32943e-08	5.21700e+02	1.00194e+00
9.24446e+00	1.99339e+04	1.38915e-10	1.35502e-03	2.97247e+02	2.70109e+01	1.33215e-08	5.24668e+02	1.00195e+00
5.77779e+00	1.99870e+04	8.87444e-11	1.38134e-03	2.97180e+02	2.76090e+01	1.33571e-08	5.27382e+02	1.00194e+00
3.61112e+00	2.00343e+04	5.61497e-11	1.39509e-03	2.97076e+02	2.79496e+01	1.33887e-08	5.30445e+02	1.00194e+00
2.25695e+00	2.00705e+04	3.75915e-11	1.49169e-03	2.96942e+02	2.99391e+01	1.34128e-08	5.33867e+02	1.00194e+00
1.41059e+00	2.01233e+04	2.43341e-11	1.54093e-03	2.96803e+02	3.10087e+01	1.34482e-08	5.38250e+02	1.00196e+00
8.81621e-01	2.01936e+04	1.57598e-11	1.59121e-03	2.96587e+02	3.21322e+01	1.34951e-08	5.44869e+02	1.00199e+00
5.51013e-01	2.03254e+04	1.12634e-11	1.80775e-03	2.96197e+02	3.67433e+01	1.35832e-08	5.54750e+02	1.00200e+00
3.44383e-01	2.05009e+04	7.37782e-12	1.87839e-03	2.95566e+02	3.85085e+01	1.37005e-08	5.70010e+02	1.00201e+00
2.15239e-01	2.07879e+04	5.72019e-12	2.29799e-03	2.94507e+02	4.77704e+01	1.38923e-08	5.94890e+02	1.00202e+00
1.34525e-01	2.12752e+04	3.88717e-12	2.44134e-03	2.92705e+02	5.19400e+01	1.42179e-08	6.32820e+02	1.00204e+00
