T_thermocontroller T_self C D R X
29.97 -1 +5.12378E-011 +6.55662E-002 +2.02790E+004 -3.09291E+005
29.97 -1 +5.12366E-011 +6.56424E-002 +2.03029E+004 -3.09295E+005
29.97 -1 +5.12311E-011 +6.56552E-002 +2.03090E+004 -3.09328E+005
29.97 -1 +5.12367E-011 +6.54709E-002 +2.02502E+004 -3.09301E+005
29.97 -1 +5.12344E-011 +6.56641E-002 +2.03104E+004 -3.09307E+005
29.97 -1 +5.12344E-011 +6.55181E-002 +2.02656E+004 -3.09313E+005
29.97 -1 +5.12432E-011 +6.55232E-002 +2.02637E+004 -3.09260E+005
29.97 -1 +5.12430E-011 +6.56074E-002 +2.02896E+004 -3.09258E+005
30.24 -1 +5.12364E-011 +6.54666E-002 +2.02490E+004 -3.09303E+005
30.24 -1 +5.12448E-011 +6.55060E-002 +2.02578E+004 -3.09251E+005
30.24 -1 +5.12427E-011 +6.55297E-002 +2.02659E+004 -3.09263E+005
30.24 -1 +5.12455E-011 +6.54911E-002 +2.02529E+004 -3.09247E+005
30.24 -1 +5.12435E-011 +6.56134E-002 +2.02912E+004 -3.09254E+005
30.24 -1 +5.12487E-011 +6.54864E-002 +2.02502E+004 -3.09228E+005
30.24 -1 +5.12530E-011 +6.55864E-002 +2.02792E+004 -3.09198E+005
30.24 -1 +5.12510E-011 +6.54656E-002 +2.02429E+004 -3.09215E+005
30.24 -1 +5.12520E-011 +6.55036E-002 +2.02542E+004 -3.09207E+005
30.24 -1 +5.12559E-011 +6.54635E-002 +2.02404E+004 -3.09186E+005
30.24 -1 +5.12517E-011 +6.54884E-002 +2.02497E+004 -3.09210E+005
30.24 -1 +5.12566E-011 +6.54689E-002 +2.02417E+004 -3.09181E+005
30.24 -1 +5.12556E-011 +6.54215E-002 +2.02276E+004 -3.09189E+005
30.24 -1 +5.12602E-011 +6.54755E-002 +2.02424E+004 -3.09159E+005
30.24 -1 +5.12615E-011 +6.54683E-002 +2.02396E+004 -3.09151E+005
30.24 -1 +5.12590E-011 +6.54615E-002 +2.02385E+004 -3.09167E+005
30.24 -1 +5.12635E-011 +6.54433E-002 +2.02312E+004 -3.09140E+005
30.24 -1 +5.12552E-011 +6.53118E-002 +2.01941E+004 -3.09196E+005
30.24 -1 +5.12561E-011 +6.53758E-002 +2.02134E+004 -3.09188E+005
30.24 -1 +5.12533E-011 +6.53960E-002 +2.02207E+004 -3.09204E+005
30.24 -1 +5.12582E-011 +6.54473E-002 +2.02345E+004 -3.09172E+005
30.71 -1 +5.12585E-011 +6.53019E-002 +2.01898E+004 -3.09176E+005
30.71 -1 +5.12628E-011 +6.52820E-002 +2.01820E+004 -3.09151E+005
30.71 -1 +5.12613E-011 +6.54512E-002 +2.02345E+004 -3.09154E+005
30.71 -1 +5.12583E-011 +6.53295E-002 +2.01983E+004 -3.09176E+005
30.71 -1 +5.12612E-011 +6.53754E-002 +2.02112E+004 -3.09157E+005
30.71 -1 +5.12577E-011 +6.54120E-002 +2.02238E+004 -3.09177E+005
30.71 -1 +5.12666E-011 +6.53175E-002 +2.01914E+004 -3.09127E+005
30.71 -1 +5.12646E-011 +6.53780E-002 +2.02107E+004 -3.09136E+005
30.71 -1 +5.12615E-011 +6.52430E-002 +2.01705E+004 -3.09160E+005
30.71 -1 +5.12746E-011 +6.53038E-002 +2.01841E+004 -3.09079E+005
30.71 -1 +5.12704E-011 +6.53650E-002 +2.02045E+004 -3.09102E+005
30.71 -1 +5.12719E-011 +6.53646E-002 +2.02038E+004 -3.09093E+005
30.71 -1 +5.12715E-011 +6.54612E-002 +2.02335E+004 -3.09092E+005
30.71 -1 +5.12740E-011 +6.52925E-002 +2.01808E+004 -3.09083E+005
30.71 -1 +5.12789E-011 +6.52452E-002 +2.01644E+004 -3.09056E+005
30.71 -1 +5.12715E-011 +6.53400E-002 +2.01964E+004 -3.09096E+005
30.71 -1 +5.12738E-011 +6.53283E-002 +2.01918E+004 -3.09083E+005
30.71 -1 +5.12761E-011 +6.53104E-002 +2.01855E+004 -3.09070E+005
30.71 -1 +5.12774E-011 +6.52472E-002 +2.01656E+004 -3.09064E+005
30.71 -1 +5.12823E-011 +6.52590E-002 +2.01673E+004 -3.09035E+005
30.71 -1 +5.12823E-011 +6.52889E-002 +2.01765E+004 -3.09033E+005
31.05 -1 +5.12874E-011 +6.52510E-002 +2.01628E+004 -3.09004E+005
31.05 -1 +5.12810E-011 +6.53326E-002 +2.01904E+004 -3.09040E+005
31.05 -1 +5.12855E-011 +6.52946E-002 +2.01770E+004 -3.09014E+005
31.05 -1 +5.12848E-011 +6.52923E-002 +2.01765E+004 -3.09018E+005
31.05 -1 +5.12885E-011 +6.52508E-002 +2.01623E+004 -3.08997E+005
31.05 -1 +5.12931E-011 +6.53271E-002 +2.01839E+004 -3.08967E+005
31.05 -1 +5.12877E-011 +6.53292E-002 +2.01867E+004 -3.08999E+005
31.05 -1 +5.12899E-011 +6.51884E-002 +2.01426E+004 -3.08991E+005
31.05 -1 +5.12910E-011 +6.52321E-002 +2.01556E+004 -3.08983E+005
31.05 -1 +5.12938E-011 +6.51825E-002 +2.01393E+004 -3.08968E+005
31.05 -1 +5.12953E-011 +6.53009E-002 +2.01750E+004 -3.08955E+005
31.05 -1 +5.12921E-011 +6.51829E-002 +2.01401E+004 -3.08978E+005
31.05 -1 +5.12923E-011 +6.51482E-002 +2.01294E+004 -3.08979E+005
31.05 -1 +5.12988E-011 +6.52744E-002 +2.01655E+004 -3.08935E+005
31.05 -1 +5.12985E-011 +6.51516E-002 +2.01280E+004 -3.08941E+005
31.05 -1 +5.12965E-011 +6.51868E-002 +2.01396E+004 -3.08952E+005
31.05 -1 +5.12984E-011 +6.51735E-002 +2.01348E+004 -3.08941E+005
31.05 -1 +5.13020E-011 +6.51041E-002 +2.01121E+004 -3.08922E+005
31.05 -1 +5.12991E-011 +6.50917E-002 +2.01094E+004 -3.08940E+005
31.05 -1 +5.13053E-011 +6.52120E-002 +2.01438E+004 -3.08898E+005
