PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 5.000e-05  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.1000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	4.24328e+02	9.51916e+02
2.80000e+01	4.25717e+02	9.50672e+02
3.92000e+01	4.18101e+02	6.82340e+02
5.48800e+01	4.13519e+02	4.95569e+02
7.68300e+01	4.07349e+02	3.62947e+02
1.07560e+02	4.00459e+02	2.61056e+02
1.50590e+02	3.96260e+02	1.95811e+02
2.10830e+02	3.91994e+02	1.44204e+02
2.95160e+02	3.87599e+02	1.09786e+02
4.13220e+02	3.83810e+02	8.56395e+01
5.78510e+02	3.79808e+02	6.94323e+01
8.09910e+02	3.75919e+02	5.90028e+01
1.13388e+03	3.71654e+02	5.32529e+01
1.58743e+03	3.67170e+02	5.15165e+01
2.22240e+03	3.62400e+02	5.33362e+01
3.11136e+03	3.56357e+02	5.91649e+01
4.35591e+03	3.48496e+02	6.85662e+01
6.09827e+03	3.37685e+02	8.23864e+01
8.53758e+03	3.21948e+02	9.99673e+01
1.19526e+04	2.99106e+02	1.20617e+02
1.67337e+04	2.66695e+02	1.41390e+02
2.34271e+04	2.23954e+02	1.57046e+02
3.27980e+04	1.74280e+02	1.61608e+02
4.59171e+04	1.25251e+02	1.52285e+02
6.42840e+04	8.44481e+01	1.31948e+02
8.99976e+04	5.52846e+01	1.07054e+02
1.25997e+05	3.66339e+01	8.31050e+01
1.76395e+05	2.54215e+01	6.29571e+01
2.46953e+05	1.88534e+01	4.72674e+01
3.00000e+05	1.48884e+01	3.55886e+01
