PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 5.000e-05  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=8.0000e+01  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	2.65611e+02	2.69736e+01
2.80000e+01	2.64955e+02	3.08665e+01
3.92000e+01	2.62831e+02	2.46507e+01
5.48800e+01	2.60867e+02	2.03354e+01
7.68300e+01	2.60624e+02	1.62787e+01
1.07560e+02	2.57775e+02	1.57925e+01
1.50590e+02	2.55451e+02	1.49785e+01
2.10830e+02	2.53976e+02	1.44114e+01
2.95160e+02	2.51837e+02	1.39203e+01
4.13220e+02	2.49795e+02	1.42420e+01
5.78510e+02	2.47619e+02	1.51780e+01
8.09910e+02	2.45368e+02	1.66698e+01
1.13388e+03	2.42820e+02	1.86367e+01
1.58743e+03	2.40006e+02	2.14922e+01
2.22240e+03	2.36729e+02	2.53392e+01
3.11136e+03	2.32888e+02	3.03950e+01
4.35591e+03	2.28120e+02	3.71225e+01
6.09827e+03	2.21762e+02	4.56147e+01
8.53758e+03	2.12895e+02	5.62241e+01
1.19526e+04	2.00346e+02	6.85080e+01
1.67337e+04	1.82807e+02	8.14166e+01
2.34271e+04	1.59292e+02	9.26302e+01
3.27980e+04	1.30672e+02	9.88491e+01
4.59171e+04	1.00184e+02	9.74052e+01
6.42840e+04	7.24496e+01	8.81711e+01
8.99976e+04	5.08898e+01	7.46039e+01
1.25997e+05	3.60709e+01	6.00053e+01
1.76395e+05	2.65300e+01	4.70467e+01
2.46953e+05	2.04574e+01	3.66446e+01
3.00000e+05	1.63193e+01	2.86968e+01
