PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 5.000e-05  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.4000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	3.25464e+02	1.81533e+02
2.80000e+01	3.28049e+02	1.73539e+02
3.92000e+01	3.25238e+02	1.28314e+02
5.48800e+01	3.21516e+02	9.58459e+01
7.68300e+01	3.17963e+02	7.21135e+01
1.07560e+02	3.17891e+02	5.59816e+01
1.50590e+02	3.15250e+02	4.32782e+01
2.10830e+02	3.13471e+02	3.51702e+01
2.95160e+02	3.10786e+02	2.97727e+01
4.13220e+02	3.08403e+02	2.63615e+01
5.78510e+02	3.05889e+02	2.47279e+01
8.09910e+02	3.03099e+02	2.44534e+01
1.13388e+03	3.00354e+02	2.57241e+01
1.58743e+03	2.97240e+02	2.83934e+01
2.22240e+03	2.93495e+02	3.27600e+01
3.11136e+03	2.89181e+02	3.90834e+01
4.35591e+03	2.83461e+02	4.77533e+01
6.09827e+03	2.75521e+02	5.91727e+01
8.53758e+03	2.64154e+02	7.35462e+01
1.19526e+04	2.47504e+02	9.03332e+01
1.67337e+04	2.23647e+02	1.07666e+02
2.34271e+04	1.91523e+02	1.21864e+02
3.27980e+04	1.52988e+02	1.28234e+02
4.59171e+04	1.13379e+02	1.23746e+02
6.42840e+04	7.89767e+01	1.09659e+02
8.99976e+04	5.34030e+01	9.06355e+01
1.25997e+05	3.64668e+01	7.14509e+01
1.76395e+05	2.60359e+01	5.48891e+01
2.46953e+05	1.97255e+01	4.18371e+01
3.00000e+05	1.57128e+01	3.20460e+01
