PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 5.000e-05  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.9000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	3.97903e+02	6.29897e+02
2.80000e+01	3.94835e+02	6.26453e+02
3.92000e+01	3.90738e+02	4.58808e+02
5.48800e+01	3.86385e+02	3.31604e+02
7.68300e+01	3.83527e+02	2.41795e+02
1.07560e+02	3.79674e+02	1.79182e+02
1.50590e+02	3.75392e+02	1.32958e+02
2.10830e+02	3.72039e+02	1.00126e+02
2.95160e+02	3.68868e+02	7.74697e+01
4.13220e+02	3.65462e+02	6.20281e+01
5.78510e+02	3.62466e+02	5.16978e+01
8.09910e+02	3.59170e+02	4.55794e+01
1.13388e+03	3.55554e+02	4.25926e+01
1.58743e+03	3.50983e+02	4.25549e+01
2.22240e+03	3.46617e+02	4.57773e+01
3.11136e+03	3.41087e+02	5.21041e+01
4.35591e+03	3.33970e+02	6.18909e+01
6.09827e+03	3.24148e+02	7.52770e+01
8.53758e+03	3.09778e+02	9.26353e+01
1.19526e+04	2.88570e+02	1.12738e+02
1.67337e+04	2.58277e+02	1.33174e+02
2.34271e+04	2.18007e+02	1.48988e+02
3.27980e+04	1.70674e+02	1.54381e+02
4.59171e+04	1.23476e+02	1.46378e+02
6.42840e+04	8.38029e+01	1.27535e+02
8.99976e+04	5.52081e+01	1.03895e+02
1.25997e+05	3.67650e+01	8.08947e+01
1.76395e+05	2.56471e+01	6.14305e+01
2.46953e+05	1.91169e+01	4.62527e+01
3.00000e+05	1.51290e+01	3.49433e+01
