PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 5.000e-05  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.8000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	3.84434e+02	5.02543e+02
2.80000e+01	3.82826e+02	5.02708e+02
3.92000e+01	3.79297e+02	3.64506e+02
5.48800e+01	3.74513e+02	2.68457e+02
7.68300e+01	3.72283e+02	1.93571e+02
1.07560e+02	3.68867e+02	1.45125e+02
1.50590e+02	3.65113e+02	1.08631e+02
2.10830e+02	3.62516e+02	8.28022e+01
2.95160e+02	3.59167e+02	6.46188e+01
4.13220e+02	3.56177e+02	5.22187e+01
5.78510e+02	3.52843e+02	4.40955e+01
8.09910e+02	3.48994e+02	3.92691e+01
1.13388e+03	3.45550e+02	3.78543e+01
1.58743e+03	3.42078e+02	3.89076e+01
2.22240e+03	3.37725e+02	4.26172e+01
3.11136e+03	3.32576e+02	4.93364e+01
4.35591e+03	3.25766e+02	5.89783e+01
6.09827e+03	3.16240e+02	7.23215e+01
8.53758e+03	3.02361e+02	8.92476e+01
1.19526e+04	2.81913e+02	1.08852e+02
1.67337e+04	2.52566e+02	1.28749e+02
2.34271e+04	2.13638e+02	1.44316e+02
3.27980e+04	1.67782e+02	1.49995e+02
4.59171e+04	1.21783e+02	1.42613e+02
6.42840e+04	8.29878e+01	1.24541e+02
8.99976e+04	5.48714e+01	1.01653e+02
1.25997e+05	3.66945e+01	7.92843e+01
1.76395e+05	2.57147e+01	6.03119e+01
2.46953e+05	1.92307e+01	4.54962e+01
3.00000e+05	1.52426e+01	3.44517e+01
