PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 5.000e-05  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.3000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	3.15064e+02	1.28827e+02
2.80000e+01	3.10283e+02	1.34209e+02
3.92000e+01	3.13355e+02	9.83744e+01
5.48800e+01	3.09167e+02	7.55700e+01
7.68300e+01	3.09598e+02	5.49674e+01
1.07560e+02	3.06636e+02	4.44806e+01
1.50590e+02	3.04139e+02	3.54659e+01
2.10830e+02	3.02536e+02	2.86754e+01
2.95160e+02	2.99745e+02	2.52743e+01
4.13220e+02	2.97516e+02	2.29032e+01
5.78510e+02	2.95184e+02	2.21581e+01
8.09910e+02	2.92734e+02	2.24613e+01
1.13388e+03	2.89950e+02	2.38947e+01
1.58743e+03	2.86964e+02	2.68265e+01
2.22240e+03	2.83407e+02	3.10642e+01
3.11136e+03	2.79062e+02	3.71995e+01
4.35591e+03	2.73515e+02	4.55430e+01
6.09827e+03	2.66011e+02	5.65150e+01
8.53758e+03	2.55138e+02	7.02485e+01
1.19526e+04	2.39242e+02	8.62293e+01
1.67337e+04	2.15844e+02	1.02333e+02
2.34271e+04	1.85491e+02	1.15977e+02
3.27980e+04	1.48894e+02	1.22415e+02
4.59171e+04	1.11040e+02	1.18622e+02
6.42840e+04	7.78674e+01	1.05622e+02
8.99976e+04	5.29650e+01	8.76524e+01
1.25997e+05	3.64147e+01	6.93470e+01
1.76395e+05	2.61275e+01	5.34461e+01
2.46953e+05	1.98564e+01	4.08700e+01
3.00000e+05	1.58172e+01	3.14177e+01
