PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 5.000e-05  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.2000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	7.03749e+02	1.16630e+04
2.80000e+01	7.07249e+02	1.18920e+04
3.92000e+01	6.84788e+02	8.48767e+03
5.48800e+01	6.68500e+02	6.01499e+03
7.68300e+01	6.50069e+02	4.33128e+03
1.07560e+02	6.35039e+02	3.11844e+03
1.50590e+02	6.19451e+02	2.24784e+03
2.10830e+02	6.03489e+02	1.62804e+03
2.95160e+02	5.88137e+02	1.18591e+03
4.13220e+02	5.72052e+02	8.69113e+02
5.78510e+02	5.56555e+02	6.45014e+02
8.09910e+02	5.41710e+02	4.85242e+02
1.13388e+03	5.26754e+02	3.73077e+02
1.58743e+03	5.12028e+02	2.95957e+02
2.22240e+03	4.96301e+02	2.44325e+02
3.11136e+03	4.79211e+02	2.13443e+02
4.35591e+03	4.59566e+02	1.98078e+02
6.09827e+03	4.35519e+02	1.95871e+02
8.53758e+03	4.04402e+02	2.03442e+02
1.19526e+04	3.62943e+02	2.16760e+02
1.67337e+04	3.09190e+02	2.29267e+02
2.34271e+04	2.45263e+02	2.32348e+02
3.27980e+04	1.79090e+02	2.20020e+02
4.59171e+04	1.21109e+02	1.92996e+02
6.42840e+04	7.77240e+01	1.58175e+02
8.99976e+04	4.90381e+01	1.23382e+02
1.25997e+05	3.17422e+01	9.32829e+01
1.76395e+05	2.17069e+01	6.93450e+01
2.46953e+05	1.59965e+01	5.12373e+01
3.00000e+05	1.26630e+01	3.79429e+01
