PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.1000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	1.17348e+02	6.53524e+01
2.80000e+01	2.46020e+02	3.60513e+01
3.92000e+01	2.42786e+02	3.14716e+01
5.48800e+01	2.41814e+02	2.95857e+01
7.68300e+01	2.34745e+02	2.82933e+01
1.07560e+02	2.31633e+02	2.36312e+01
1.50590e+02	2.26061e+02	2.15515e+01
2.10830e+02	2.24522e+02	1.97356e+01
2.95160e+02	2.20207e+02	1.86615e+01
4.13220e+02	2.16419e+02	1.77229e+01
5.78510e+02	2.13109e+02	1.70796e+01
8.09910e+02	2.09839e+02	1.62645e+01
1.13388e+03	2.06739e+02	1.54861e+01
1.58743e+03	2.03546e+02	1.48597e+01
2.22240e+03	2.00727e+02	1.44293e+01
3.11136e+03	1.97841e+02	1.39077e+01
4.35591e+03	1.95196e+02	1.36987e+01
6.09827e+03	1.92690e+02	1.34655e+01
8.53758e+03	1.90272e+02	1.35782e+01
1.19526e+04	1.88017e+02	1.40269e+01
1.67337e+04	1.85797e+02	1.48503e+01
2.34271e+04	1.83523e+02	1.62428e+01
3.27980e+04	1.81130e+02	1.83863e+01
4.59171e+04	1.78432e+02	2.14579e+01
6.42840e+04	1.75185e+02	2.57450e+01
8.99976e+04	1.70879e+02	3.13853e+01
1.25997e+05	1.65000e+02	3.85654e+01
1.76395e+05	1.56395e+02	4.70252e+01
2.46953e+05	1.43864e+02	5.53673e+01
3.00000e+05	1.27975e+02	6.26307e+01
