PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.9000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	1.27878e+02	9.98648e+01
2.80000e+01	4.41721e+02	1.85842e+02
3.92000e+01	4.18890e+02	1.39042e+02
5.48800e+01	4.09248e+02	1.13715e+02
7.68300e+01	4.00138e+02	9.53692e+01
1.07560e+02	3.88508e+02	8.09809e+01
1.50590e+02	3.77985e+02	6.82175e+01
2.10830e+02	3.69725e+02	6.12709e+01
2.95160e+02	3.61026e+02	5.34596e+01
4.13220e+02	3.52455e+02	4.85546e+01
5.78510e+02	3.44460e+02	4.44591e+01
8.09910e+02	3.36685e+02	4.19237e+01
1.13388e+03	3.28723e+02	4.00266e+01
1.58743e+03	3.21021e+02	3.82879e+01
2.22240e+03	3.13934e+02	3.67296e+01
3.11136e+03	3.07181e+02	3.59629e+01
4.35591e+03	2.99946e+02	3.54158e+01
6.09827e+03	2.93097e+02	3.53545e+01
8.53758e+03	2.86662e+02	3.54629e+01
1.19526e+04	2.80075e+02	3.63867e+01
1.67337e+04	2.73586e+02	3.79540e+01
2.34271e+04	2.67011e+02	4.05425e+01
3.27980e+04	2.60009e+02	4.43520e+01
4.59171e+04	2.52333e+02	4.97400e+01
6.42840e+04	2.43295e+02	5.69578e+01
8.99976e+04	2.32039e+02	6.61737e+01
1.25997e+05	2.17455e+02	7.69210e+01
1.76395e+05	1.98114e+02	8.79715e+01
2.46953e+05	1.73593e+02	9.69828e+01
3.00000e+05	1.44833e+02	1.00303e+02
