PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=6.0000e+01  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	1.09886e+02	5.25769e+01
2.80000e+01	1.95430e+02	1.28656e+01
3.92000e+01	1.94335e+02	1.80885e+01
5.48800e+01	1.90773e+02	1.35148e+01
7.68300e+01	1.87762e+02	1.04445e+01
1.07560e+02	1.83899e+02	1.32648e+01
1.50590e+02	1.81172e+02	1.17827e+01
2.10830e+02	1.78417e+02	1.16041e+01
2.95160e+02	1.77326e+02	1.04210e+01
4.13220e+02	1.75250e+02	9.90542e+00
5.78510e+02	1.72967e+02	9.31895e+00
8.09910e+02	1.71341e+02	8.92079e+00
1.13388e+03	1.69574e+02	8.36524e+00
1.58743e+03	1.68031e+02	7.87956e+00
2.22240e+03	1.66581e+02	7.75640e+00
3.11136e+03	1.65178e+02	7.59319e+00
4.35591e+03	1.63810e+02	7.48882e+00
6.09827e+03	1.62526e+02	7.61320e+00
8.53758e+03	1.61225e+02	7.88955e+00
1.19526e+04	1.59983e+02	8.44261e+00
1.67337e+04	1.58697e+02	9.30657e+00
2.34271e+04	1.57400e+02	1.05772e+01
3.27980e+04	1.55928e+02	1.24118e+01
4.59171e+04	1.54197e+02	1.49289e+01
6.42840e+04	1.52053e+02	1.83447e+01
8.99976e+04	1.49126e+02	2.28243e+01
1.25997e+05	1.44993e+02	2.86259e+01
1.76395e+05	1.38881e+02	3.55423e+01
2.46953e+05	1.30060e+02	4.29371e+01
3.00000e+05	1.18069e+02	4.96536e+01
