PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.8000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	1.27101e+02	9.50452e+01
2.80000e+01	4.06162e+02	1.40272e+02
3.92000e+01	3.93126e+02	1.17922e+02
5.48800e+01	3.76760e+02	9.08147e+01
7.68300e+01	3.70803e+02	7.95487e+01
1.07560e+02	3.58968e+02	6.75412e+01
1.50590e+02	3.51116e+02	5.76235e+01
2.10830e+02	3.44287e+02	5.17219e+01
2.95160e+02	3.36004e+02	4.61213e+01
4.13220e+02	3.28303e+02	4.22877e+01
5.78510e+02	3.21124e+02	3.96489e+01
8.09910e+02	3.13981e+02	3.69474e+01
1.13388e+03	3.07095e+02	3.52195e+01
1.58743e+03	3.00339e+02	3.39789e+01
2.22240e+03	2.93651e+02	3.28132e+01
3.11136e+03	2.87519e+02	3.19503e+01
4.35591e+03	2.81504e+02	3.14797e+01
6.09827e+03	2.75418e+02	3.12569e+01
8.53758e+03	2.69715e+02	3.14803e+01
1.19526e+04	2.63801e+02	3.22223e+01
1.67337e+04	2.58127e+02	3.36946e+01
2.34271e+04	2.52303e+02	3.59669e+01
3.27980e+04	2.46242e+02	3.93906e+01
4.59171e+04	2.39515e+02	4.42854e+01
6.42840e+04	2.31724e+02	5.09272e+01
8.99976e+04	2.21909e+02	5.94566e+01
1.25997e+05	2.08966e+02	6.96317e+01
1.76395e+05	1.91771e+02	8.04127e+01
2.46953e+05	1.69554e+02	8.97167e+01
3.00000e+05	1.43176e+02	9.48381e+01
