PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.0000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.80000e+01	2.33230e+02	3.56993e+01
3.92000e+01	2.31726e+02	2.56502e+01
5.48800e+01	2.26007e+02	2.35766e+01
7.68300e+01	2.23626e+02	1.82307e+01
1.07560e+02	2.18959e+02	2.03184e+01
1.50590e+02	2.16723e+02	1.91789e+01
2.10830e+02	2.11799e+02	1.75750e+01
2.95160e+02	2.09921e+02	1.70053e+01
4.13220e+02	2.06533e+02	1.56972e+01
5.78510e+02	2.03521e+02	1.49246e+01
8.09910e+02	2.00620e+02	1.42330e+01
1.13388e+03	1.97646e+02	1.37941e+01
1.58743e+03	1.95074e+02	1.32831e+01
2.22240e+03	1.92470e+02	1.26350e+01
3.11136e+03	1.89942e+02	1.23256e+01
4.35591e+03	1.87659e+02	1.20858e+01
6.09827e+03	1.85515e+02	1.20195e+01
8.53758e+03	1.83331e+02	1.20773e+01
1.19526e+04	1.81371e+02	1.25338e+01
1.67337e+04	1.79382e+02	1.33917e+01
2.34271e+04	1.77372e+02	1.46797e+01
3.27980e+04	1.75232e+02	1.67688e+01
4.59171e+04	1.72815e+02	1.97227e+01
6.42840e+04	1.69902e+02	2.37051e+01
8.99976e+04	1.66019e+02	2.91944e+01
1.25997e+05	1.60047e+02	3.58080e+01
1.76395e+05	1.52157e+02	4.39119e+01
2.46953e+05	1.40941e+02	5.24048e+01
3.00000e+05	1.25961e+02	5.96502e+01
