PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.3000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.00000e+01	1.20616e+02	7.26286e+01
2.80000e+01	2.87296e+02	5.48428e+01
3.92000e+01	2.74366e+02	4.38524e+01
5.48800e+01	2.71792e+02	3.55675e+01
7.68300e+01	2.66645e+02	3.68185e+01
1.07560e+02	2.59017e+02	3.15905e+01
1.50590e+02	2.53860e+02	2.82462e+01
2.10830e+02	2.50842e+02	2.60010e+01
2.95160e+02	2.44747e+02	2.38245e+01
4.13220e+02	2.40631e+02	2.24480e+01
5.78510e+02	2.36347e+02	2.15367e+01
8.09910e+02	2.32160e+02	2.03685e+01
1.13388e+03	2.28173e+02	1.96535e+01
1.58743e+03	2.24327e+02	1.89257e+01
2.22240e+03	2.20593e+02	1.83340e+01
3.11136e+03	2.16971e+02	1.78001e+01
4.35591e+03	2.13569e+02	1.74080e+01
6.09827e+03	2.10271e+02	1.72039e+01
8.53758e+03	2.07032e+02	1.73126e+01
1.19526e+04	2.04083e+02	1.77311e+01
1.67337e+04	2.01193e+02	1.86425e+01
2.34271e+04	1.98175e+02	2.01234e+01
3.27980e+04	1.95064e+02	2.24628e+01
4.59171e+04	1.91674e+02	2.58438e+01
6.42840e+04	1.87633e+02	3.05553e+01
8.99976e+04	1.82426e+02	3.68376e+01
1.25997e+05	1.75229e+02	4.47353e+01
1.76395e+05	1.64985e+02	5.38900e+01
2.46953e+05	1.50854e+02	6.30553e+01
3.00000e+05	1.32578e+02	7.02546e+01
