PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.2000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.80000e+01	1.43465e+03	3.30302e+03
3.92000e+01	1.34169e+03	2.46360e+03
5.48800e+01	1.25615e+03	1.85663e+03
7.68300e+01	1.17085e+03	1.41858e+03
1.07560e+02	1.09214e+03	1.09719e+03
1.50590e+02	1.01687e+03	8.66381e+02
2.10830e+02	9.47694e+02	6.94816e+02
2.95160e+02	8.79808e+02	5.61638e+02
4.13220e+02	8.18890e+02	4.59164e+02
5.78510e+02	7.66037e+02	3.77643e+02
8.09910e+02	7.20187e+02	3.13569e+02
1.13388e+03	6.80623e+02	2.62105e+02
1.58743e+03	6.46491e+02	2.21110e+02
2.22240e+03	6.17145e+02	1.89890e+02
3.11136e+03	5.91131e+02	1.66452e+02
4.35591e+03	5.67028e+02	1.49172e+02
6.09827e+03	5.45055e+02	1.37176e+02
8.53758e+03	5.23683e+02	1.29617e+02
1.19526e+04	5.02678e+02	1.26168e+02
1.67337e+04	4.81544e+02	1.26407e+02
2.34271e+04	4.58510e+02	1.29527e+02
3.27980e+04	4.34575e+02	1.36852e+02
4.59171e+04	4.07396e+02	1.47258e+02
6.42840e+04	3.75501e+02	1.59817e+02
8.99976e+04	3.37543e+02	1.72733e+02
1.25997e+05	2.92884e+02	1.82802e+02
1.76395e+05	2.42882e+02	1.86393e+02
2.46953e+05	1.91375e+02	1.80463e+02
3.00000e+05	1.43704e+02	1.64649e+02
