PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=1.2000e+02  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.80000e+01	2.79000e+02	4.27550e+01
3.92000e+01	2.55895e+02	3.95352e+01
5.48800e+01	2.55868e+02	3.37825e+01
7.68300e+01	2.45559e+02	3.02035e+01
1.07560e+02	2.44774e+02	2.71860e+01
1.50590e+02	2.38890e+02	2.47053e+01
2.10830e+02	2.35291e+02	2.26712e+01
2.95160e+02	2.31931e+02	2.13920e+01
4.13220e+02	2.28060e+02	2.00446e+01
5.78510e+02	2.24010e+02	1.91778e+01
8.09910e+02	2.20353e+02	1.81641e+01
1.13388e+03	2.16750e+02	1.75388e+01
1.58743e+03	2.13387e+02	1.68003e+01
2.22240e+03	2.10105e+02	1.60783e+01
3.11136e+03	2.06907e+02	1.57720e+01
4.35591e+03	2.03825e+02	1.53878e+01
6.09827e+03	2.01004e+02	1.53616e+01
8.53758e+03	1.98220e+02	1.53736e+01
1.19526e+04	1.95526e+02	1.57472e+01
1.67337e+04	1.92987e+02	1.65882e+01
2.34271e+04	1.90351e+02	1.80166e+01
3.27980e+04	1.87683e+02	2.02562e+01
4.59171e+04	1.84664e+02	2.34615e+01
6.42840e+04	1.81029e+02	2.79243e+01
8.99976e+04	1.76441e+02	3.38586e+01
1.25997e+05	1.69862e+02	4.14151e+01
1.76395e+05	1.60513e+02	5.02272e+01
2.46953e+05	1.47437e+02	5.91949e+01
3.00000e+05	1.30352e+02	6.64702e+01
