PZO (001), 28.12.22
Diameter[mm] 7.000e-02  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=8.0000e+01  AC Volt  [Vrms]=5.000e-02
 Freq. [Hz]	 Eps'	 Eps''
2.80000e+01	2.20049e+02	1.77027e+01
3.92000e+01	2.08268e+02	1.46298e+01
5.48800e+01	2.10460e+02	1.54414e+01
7.68300e+01	2.05178e+02	1.98612e+01
1.07560e+02	1.99968e+02	1.55738e+01
1.50590e+02	1.95312e+02	1.49640e+01
2.10830e+02	1.93721e+02	1.41031e+01
2.95160e+02	1.92043e+02	1.30695e+01
4.13220e+02	1.89617e+02	1.26672e+01
5.78510e+02	1.86901e+02	1.17461e+01
8.09910e+02	1.84717e+02	1.12960e+01
1.13388e+03	1.82351e+02	1.07041e+01
1.58743e+03	1.79329e+02	1.00186e+01
2.22240e+03	1.77383e+02	9.66806e+00
3.11136e+03	1.75683e+02	9.44368e+00
4.35591e+03	1.73926e+02	9.21096e+00
6.09827e+03	1.72269e+02	9.24229e+00
8.53758e+03	1.70655e+02	9.47485e+00
1.19526e+04	1.69167e+02	9.97224e+00
1.67337e+04	1.67679e+02	1.08676e+01
2.34271e+04	1.66072e+02	1.21691e+01
3.27980e+04	1.64360e+02	1.40865e+01
4.59171e+04	1.62397e+02	1.68272e+01
6.42840e+04	1.59965e+02	2.05454e+01
8.99976e+04	1.56722e+02	2.54087e+01
1.25997e+05	1.52014e+02	3.17365e+01
1.76395e+05	1.45147e+02	3.92320e+01
2.46953e+05	1.35289e+02	4.72041e+01
3.00000e+05	1.21961e+02	5.42516e+01
