T[K]	1/T[1/K]	A1	n1	A2	n2	dEps1	f1	a1	b1	dEps2	f2	a2	b2	dEps3	f3	a3	b3	dEps4	f4	a4	b4	S[S/cm]	Log(S*T)	EpsInf	
5,000E+01	2,000E-02	0.0	0.0	0.0	0.0	2,341E+02	1,000E-03	7,549E-01	1,408E-01	0.0	0.0	0.0	0.0	8,974E+01	2,820E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	9,746E-09	-1,453E+01	3,317E+01
6,000E+01	1,667E-02	0.0	0.0	0.0	0.0	2,991E+02	6,193E-03	9,134E-01	1,703E-01	0.0	0.0	0.0	0.0	9,448E+01	2,710E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	0,000E+00	-бесконечность	4,227E+01
7,000E+01	1,429E-02	0.0	0.0	0.0	0.0	5,678E+01	4,888E+02	1,000E+00	1,547E-01	0.0	0.0	0.0	0.0	9,699E+01	2,662E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	3,070E-08	-1,305E+01	4,239E+01
8,000E+01	1,250E-02	0.0	0.0	0.0	0.0	7,230E+01	1,897E+02	1,000E+00	1,718E-01	0.0	0.0	0.0	0.0	1,007E+02	2,590E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	1,175E-08	-1,388E+01	4,463E+01
9,000E+01	1,111E-02	0.0	0.0	0.0	0.0	7,503E+01	3,753E+02	1,000E+00	1,637E-01	0.0	0.0	0.0	0.0	1,053E+02	2,646E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	3,230E-08	-1,275E+01	3,925E+01
1,000E+02	1,000E-02	0.0	0.0	0.0	0.0	8,460E+01	4,895E+02	1,000E+00	1,535E-01	0.0	0.0	0.0	0.0	1,085E+02	2,614E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	4,571E-08	-1,230E+01	3,491E+01
1,100E+02	9,091E-03	0.0	0.0	0.0	0.0	1,305E+02	7,852E+01	1,000E+00	1,298E-01	0.0	0.0	0.0	0.0	1,139E+02	2,677E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	3,029E-08	-1,261E+01	2,138E+01
1,200E+02	8,333E-03	0.0	0.0	0.0	0.0	1,628E+02	4,127E+01	1,000E+00	1,231E-01	0.0	0.0	0.0	0.0	1,194E+02	2,673E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	3,390E-08	-1,241E+01	1,264E+01
1,300E+02	7,692E-03	0.0	0.0	0.0	0.0	1,589E+02	1,700E+02	1,000E+00	1,151E-01	0.0	0.0	0.0	0.0	1,231E+02	2,596E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	6,091E-08	-1,175E+01	3,399E+00
1,400E+02	7,143E-03	0.0	0.0	0.0	0.0	1,743E+02	2,203E+02	9,452E-01	1,200E-01	0.0	0.0	0.0	0.0	1,251E+02	2,423E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	8,831E-08	-1,130E+01	0,000E+00
1,500E+02	6,667E-03	0.0	0.0	0.0	0.0	2,402E+02	3,856E+01	8,591E-01	1,332E-01	0.0	0.0	0.0	0.0	1,266E+02	2,257E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	7,637E-08	-1,138E+01	0,000E+00
1,600E+02	6,250E-03	0.0	0.0	0.0	0.0	2,549E+02	5,665E+01	8,866E-01	1,364E-01	0.0	0.0	0.0	0.0	1,320E+02	2,096E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	9,924E-08	-1,105E+01	0,000E+00
1,700E+02	5,882E-03	0.0	0.0	0.0	0.0	2,567E+02	1,253E+02	7,320E-01	1,703E-01	0.0	0.0	0.0	0.0	1,372E+02	1,929E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	1,488E-07	-1,058E+01	0,000E+00
1,800E+02	5,556E-03	0.0	0.0	0.0	0.0	3,026E+02	9,389E+01	5,592E-01	2,453E-01	0.0	0.0	0.0	0.0	1,472E+02	1,855E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	1,772E-07	-1,035E+01	0,000E+00
