T[K]	1/T[1/K]	A1	n1	A2	n2	dEps1	f1	a1	b1	dEps2	f2	a2	b2	dEps3	f3	a3	b3	dEps4	f4	a4	b4	S[S/cm]	Log(S*T)	EpsInf	
1,900E+02	5,263E-03	0.0	0.0	0.0	0.0	3,225E+02	1,351E+02	5,566E-01	2,566E-01	0.0	0.0	0.0	0.0	1,549E+02	1,718E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	2,372E-07	-1,001E+01	0,000E+00
2,000E+02	5,000E-03	0.0	0.0	0.0	0.0	3,451E+02	1,721E+02	5,758E-01	2,631E-01	0.0	0.0	0.0	0.0	1,649E+02	1,636E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	3,032E-07	-9,711E+00	0,000E+00
2,100E+02	4,762E-03	0.0	0.0	0.0	0.0	3,827E+02	1,877E+02	5,611E-01	2,848E-01	0.0	0.0	0.0	0.0	1,771E+02	1,512E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	3,742E-07	-9,451E+00	0,000E+00
2,200E+02	4,545E-03	0.0	0.0	0.0	0.0	4,766E+02	1,322E+02	4,856E-01	3,510E-01	0.0	0.0	0.0	0.0	1,871E+02	1,419E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	4,614E-07	-9,195E+00	0,000E+00
2,300E+02	4,348E-03	0.0	0.0	0.0	0.0	5,748E+02	1,020E+02	4,446E-01	4,145E-01	0.0	0.0	0.0	0.0	2,046E+02	1,341E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	5,724E-07	-8,935E+00	0,000E+00
2,400E+02	4,167E-03	0.0	0.0	0.0	0.0	8,962E+02	1,696E+01	4,048E-01	4,668E-01	0.0	0.0	0.0	0.0	2,201E+02	1,243E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	6,927E-07	-8,702E+00	0,000E+00
2,500E+02	4,000E-03	0.0	0.0	0.0	0.0	1,198E+03	1,004E+01	3,980E-01	5,084E-01	0.0	0.0	0.0	0.0	2,345E+02	1,180E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	8,447E-07	-8,463E+00	0,000E+00
2,600E+02	3,846E-03	0.0	0.0	0.0	0.0	1,734E+03	3,001E+00	4,294E-01	4,951E-01	0.0	0.0	0.0	0.0	2,498E+02	1,122E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	3,248E-06	-7,077E+00	0,000E+00
2,700E+02	3,704E-03	0.0	0.0	0.0	0.0	3,817E+03	2,481E-01	8,345E-01	2,811E-01	0.0	0.0	0.0	0.0	2,640E+02	1,130E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	2,653E-06	-7,241E+00	0,000E+00
2,800E+02	3,571E-03	0.0	0.0	0.0	0.0	3,948E+03	2,877E-01	8,377E-01	2,822E-01	0.0	0.0	0.0	0.0	2,700E+02	1,084E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	1,525E-06	-7,758E+00	0,000E+00
2,900E+02	3,448E-03	0.0	0.0	0.0	0.0	1,271E+03	5,874E+01	1,000E+00	2,579E-01	0.0	0.0	0.0	0.0	2,813E+02	1,053E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	2,019E-06	-7,443E+00	7,733E+00
3,000E+02	3,333E-03	0.0	0.0	0.0	0.0	1,345E+03	7,282E+01	1,000E+00	2,722E-01	0.0	0.0	0.0	0.0	2,889E+02	1,036E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	2,646E-06	-7,139E+00	1,039E+01
3,100E+02	3,226E-03	0.0	0.0	0.0	0.0	1,412E+03	8,335E+01	1,000E+00	2,817E-01	0.0	0.0	0.0	0.0	2,930E+02	1,030E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	3,431E-06	-6,846E+00	1,054E+01
3,200E+02	3,125E-03	0.0	0.0	0.0	0.0	1,368E+03	1,274E+02	1,000E+00	2,840E-01	0.0	0.0	0.0	0.0	2,932E+02	1,037E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	4,667E-06	-6,507E+00	3,731E+00
3,300E+02	3,030E-03	0.0	0.0	0.0	0.0	1,362E+03	1,621E+02	9,853E-01	2,904E-01	0.0	0.0	0.0	0.0	2,950E+02	1,032E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	6,202E-06	-6,192E+00	0,000E+00
3,400E+02	2,941E-03	0.0	0.0	0.0	0.0	1,358E+03	1,961E+02	9,595E-01	3,008E-01	0.0	0.0	0.0	0.0	2,961E+02	1,015E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	8,224E-06	-5,879E+00	0,000E+00
3,500E+02	2,857E-03	0.0	0.0	0.0	0.0	1,338E+03	2,577E+02	9,235E-01	3,200E-01	0.0	0.0	0.0	0.0	2,985E+02	1,011E+06	1,000E+00	1,000E+00	0.0	0.0	0.0	0.0	1,125E-05	-5,537E+00	0,000E+00
